release	have	want
7931493	3	5
30623053	0	0
11972808	5	15
22113304	0	0
11395321	4	0
26302082	2	1
18179527	6	1
5594296	74	2
11581929	0	2
11135509	3	1
5018212	47	2
5484978	51	15
7505269	52	46
11200814	2	7
21440488	0	0
8250677	10	35
9700125	22	33
20937406	3	1
13159678	3	1
17322826	1	2
15062036	1	0
21081673	0	0
25865554	48	16
35149933	1	0
14167333	1	8
13481917	2	2
11349526	23	1
21586243	2	1
26676323	0	0
27880980	14	5
29822704	33	13
25543900	14	6
15711782	3	2
19720846	5	9
10706837	3	2
15197164	1	4
22603436	1	0
6373556	3	0
12411408	1	1
14825212	4	5
6362951	342	59
5322069	64	26
10303859	12	29
12358172	41	7
21551107	2	1
24769403	3	29
5815964	12	19
8379013	6	2
13144658	4	10
30004534	0	1
7906264	1	23
12678752	4	1
5814840	24	2
5971006	25	21
30267836	0	0
24960244	5	0
5549469	6	2
5791985	41	35
5590993	9	7
12158529	0	0
11823122	14	8
15335174	0	1
12950995	3	2
10890988	3	0
5790837	3	4
10872889	20	130
22970558	0	0
15693258	6	1
6984096	20	16
25166221	5	1
13455692	1	0
5620635	7	5
24608357	1	0
31858910	0	2
31132403	2	3
6812661	41	9
12508727	12	5
13441243	2	3
24367817	2	83
5038962	19	15
16078112	9	15
33607110	4	2
6354864	143	15
31302600	0	3
12210074	7	9
23250632	8	0
10157127	24	20
20559367	187	351
5931183	14	1
26882039	9	15
24986107	2	0
31340176	0	0
10916433	0	0
9881132	21	71
28506907	1	0
28668043	0	0
22759946	3	1
4750633	1	1
5465740	26	50
14441031	2	0
7083153	7	1
7937407	21	10
14865856	1	1
12512052	10	10
27399588	5	8
5992251	60	91
23798903	1	0
15755685	1	2
9544670	5	7
16531776	7	0
8604312	5	2
10614931	85	9
12128988	2	35
19049665	0	0
33086844	0	0
9540682	2	31
15466491	5	6
19048141	7	4
26138240	3	2
32501481	203	33
32588448	49	9
13477924	1	1
9397066	87	6
17953765	41	17
6830425	2	0
7585970	24	2
6724319	85	198
12593963	1	5
12630915	20	5
17286577	2	8
5579880	36	2
30524233	2	3
5690595	0	0
15496957	1	0
19458565	11	1
8498133	4	13
17810815	4	9
7696798	8	3
15731740	1	0
4999454	10	18
6357639	11	442
7920814	5	1
6391855	9	1
8498316	14	0
14291676	4	6
17666413	0	0
9685973	1	1
15912785	17	163
18821257	0	0
15050113	1	0
21287191	2	16
28415287	14	17
31666190	0	0
15090144	238	12
17264323	2	28
17914696	2	1
13134456	3	35
27785289	2	6
24722168	28	4
25077163	1	0
14789185	1	6
20685508	133	80
12389983	28	1
10431556	3	149
11045191	3	0
15373805	6	14
22309009	11	5
